"QTA","FATTURATO","ANNOMESE","ART_COD"
18,10232.01,"2018-08","WHIFSCR10423"
20,11364.08,"2018-09","WHIFSCR10423"
8,4532.1,"2018-10","WHIFSCR10423"
8,4742,"2018-11","WHIFSCR10423"
2,1198,"2018-12","WHIFSCR10423"
5,2495,"2019-01","WHIFSCR10423"
6,2809,"2019-02","WHIFSCR10423"
2,948,"2019-03","WHIFSCR10423"
2,919.9,"2019-06","WHIFSCR10423"
1,499,"2019-07","WHIFSCR10423"
2,778,"2019-08","WHIFSCR10423"
6,3879.5,"2018-03","AEGL6FBG741"
15,10587.3,"2018-04","AEGL6FBG741"
5,3645,"2018-05","AEGL6FBG741"
9,5382,"2018-06","AEGL6FBG741"
11,6223.47,"2018-07","AEGL6FBG741"
6,4009.5,"2018-08","AEGL6FBG741"
16,11301.1,"2018-09","AEGL6FBG741"
34,18420,"2018-10","AEGL6FBG741"
34,18420,"2018-10","AEGL6FBG741"
52,27658.22,"2018-11","AEGL6FBG741"
18,9434.57,"2018-12","AEGL6FBG741"
22,8760.7,"2019-01","AEGL6FBG741"
20,8001.21,"2019-02","AEGL6FBG741"
6,2238.85,"2019-03","AEGL6FBG741"
5,1850.75,"2019-04","AEGL6FBG741"
2,1155.9,"2019-05","AEGL6FBG741"
1,349,"2019-08","AEGL6FBG741"
5,4989,"2018-03","AEGL99697HWD"
2,1978,"2018-04","AEGL99697HWD"
3,2697,"2018-05","AEGL99697HWD"
1,899,"2018-06","AEGL99697HWD"
2,1648,"2018-07","AEGL99697HWD"
2,1798,"2018-08","AEGL99697HWD"
3,1618,"2018-09","AEGL99697HWD"
1,849,"2018-11","AEGL99697HWD"
3,269.98,"2018-03","ARCHELIUM50FLTE"
2,199.98,"2018-04","ARCHELIUM50FLTE"
1,99.99,"2018-05","ARCHELIUM50FLTE"
1,99.99,"2018-06","ARCHELIUM50FLTE"
4,319.96,"2018-07","ARCHELIUM50FLTE"
1,79.99,"2018-08","ARCHELIUM50FLTE"
3,228.98,"2018-09","ARCHELIUM50FLTE"
1,79.99,"2018-10","ARCHELIUM50FLTE"
2,84.99,"2019-01","ARCHELIUM50FLTE"
1,79.99,"2019-03","ARCHELIUM50FLTE"
1,79.99,"2019-08","ARCHELIUM50FLTE"
1,79.99,"2019-10","ARCHELIUM50FLTE"
1,79.99,"2020-04","ARCHELIUM50FLTE"
7,489.93,"2018-03","ARCHELIUM50FLTELITE"
1,69.99,"2018-04","ARCHELIUM50FLTELITE"
6,399.95,"2018-05","ARCHELIUM50FLTELITE"
2,119.99,"2018-06","ARCHELIUM50FLTELITE"
1,50,"2018-08","ARCHELIUM50FLTELITE"
2,118,"2018-09","ARCHELIUM50FLTELITE"
2,139.98,"2018-11","ARCHELIUM50FLTELITE"
2,139.98,"2018-12","ARCHELIUM50FLTELITE"
1,69.99,"2019-04","ARCHELIUM50FLTELITE"
1,69.99,"2019-05","ARCHELIUM50FLTELITE"
1,9.9,"2019-08","ARCHELIUM50FLTELITE"
1,19.9,"2019-10","ARCHELIUM50FLTELITE"
1,10,"2021-01","ARCHELIUM50FLTELITE"
6,3004,"2018-03","SAMWW60K42108W"
19,10423.3,"2018-04","SAMWW60K42108W"
9,4863.6,"2018-05","SAMWW60K42108W"
5,2447.22,"2018-06","SAMWW60K42108W"
12,5660.01,"2018-07","SAMWW60K42108W"
7,2614.99,"2018-08","SAMWW60K42108W"
6,3054.01,"2018-09","SAMWW60K42108W"
1,389,"2018-10","SAMWW60K42108W"
11,4849.9,"2018-11","SAMWW60K42108W"
1,449,"2018-12","SAMWW60K42108W"
8,2858,"2019-01","SAMWW60K42108W"
1,369,"2019-02","SAMWW60K42108W"
2,139.98,"2018-07","ARCNEON50E"
1,69.99,"2019-05","ARCNEON50E"
1,69.99,"2019-08","ARCNEON50E"
1,69.99,"2019-09","ARCNEON50E"
1,119.9,"2018-03","TIMJ3"
1,129.9,"2018-04","TIMJ3"
1,100,"2018-06","TIMJ3"
1,129.9,"2018-08","TIMJ3"
1,129.9,"2018-11","TIMJ3"
1,129.9,"2018-04","TIMJ3G"
1,129.9,"2018-08","TIMJ3G"
2,499.8,"2018-03","TIMMATESC"
1,219,"2018-04","TIMMATESC"
1,249.9,"2018-05","TIMMATESC"
3,599.8,"2018-07","TIMMATESC"
1,199.9,"2018-11","TIMMATESC"
1,159.01,"2019-01","TIMMATESC"
1,110.01,"2019-09","TIMMATESC"
3,1362.51,"2018-03","CANGVSW5106DWC01"
1,749,"2018-05","CANGVSW5106DWC01"
1,749,"2018-06","CANGVSW5106DWC01"
2,1228,"2018-07","CANGVSW5106DWC01"
1,469.99,"2018-08","CANGVSW5106DWC01"
2,1268.01,"2018-09","CANGVSW5106DWC01"
3,1817.21,"2018-10","CANGVSW5106DWC01"
5,2595,"2018-11","CANGVSW5106DWC01"
6,2734,"2018-12","CANGVSW5106DWC01"
2,818,"2019-01","CANGVSW5106DWC01"
1,419,"2019-02","CANGVSW5106DWC01"
3,1257,"2019-03","CANGVSW5106DWC01"
2,838,"2019-04","CANGVSW5106DWC01"
1,419,"2019-07","CANGVSW5106DWC01"
1,419,"2019-10","CANGVSW5106DWC01"
2,998,"2018-04","BKOWTC10735XCST"
1,219.99,"2018-03","MEUM3MAX"
1,199.99,"2018-05","MEUM3MAX"
2,399.98,"2018-06","MEUM3MAX"
1,199.99,"2018-06","MEUM3MAXS"
1,129.99,"2018-12","MEUM3MAXS"
14,2239.86,"2018-03","MEUU20"
8,1139.93,"2018-04","MEUU20"
3,449.97,"2018-05","MEUU20"
2,299.98,"2018-06","MEUU20"
5,749.95,"2018-07","MEUU20"
1,149.99,"2018-08","MEUU20"
2,269.97,"2018-09","MEUU20"
1,100,"2018-10","MEUU20"
2,229.99,"2018-11","MEUU20"
3,349.97,"2019-03","MEUU20"
1,70,"2019-06","MEUU20"
2,169.99,"2019-11","MEUU20"
2,199.98,"2019-12","MEUU20"
10,1529.92,"2018-03","MEUU20S"
7,1059.93,"2018-04","MEUU20S"
6,869.95,"2018-05","MEUU20S"
4,599.96,"2018-06","MEUU20S"
1,149.99,"2018-07","MEUU20S"
1,149.99,"2018-08","MEUU20S"
1,149.99,"2018-09","MEUU20S"
1,129.99,"2018-11","MEUU20S"
1,129.99,"2019-04","MEUU20S"
1,100,"2019-05","MEUU20S"
1,129.99,"2019-06","MEUU20S"
1,129.99,"2019-08","MEUU20S"
1,99.99,"2019-10","MEUU20S"
1,99.99,"2020-02","MEUU20S"
1,50,"2021-04","MEUU20S"
1,20,"2022-04","MEUU20S"
11,1699.91,"2018-03","MEUM3NOTE32GB"
13,1929.89,"2018-04","MEUM3NOTE32GB"
3,418.98,"2018-05","MEUM3NOTE32GB"
6,899.94,"2018-06","MEUM3NOTE32GB"
6,869.95,"2018-07","MEUM3NOTE32GB"
4,539.98,"2018-08","MEUM3NOTE32GB"
4,509.97,"2018-09","MEUM3NOTE32GB"
6,679.94,"2018-10","MEUM3NOTE32GB"
1,70,"2018-12","MEUM3NOTE32GB"
2,219.98,"2019-01","MEUM3NOTE32GB"
1,99,"2019-02","MEUM3NOTE32GB"
1,109.99,"2019-03","MEUM3NOTE32GB"
1,5,"2019-06","MEUM3NOTE32GB"
1,109.99,"2019-10","MEUM3NOTE32GB"
1,50,"2021-02","MEUM3NOTE32GB"
1,80,"2018-12","MEUM3NOTE32GBS"
1,109.99,"2019-11","MEUM3NOTE32GBS"
1,89.91,"2018-08","TIMY5IIG"
1,100,"2018-07","TIMJ3W"
1,20,"2021-03","TIMJ3W"
1,236.5,"2018-03","SONXPERIAM5W"
1,249,"2018-06","SONXPERIAM5W"
1,249,"2018-08","SONXPERIAM5W"
3,707.01,"2018-09","SONXPERIAM5W"
1,159.91,"2018-12","SONXPERIAM5W"
2,329,"2019-01","SONXPERIAM5W"
1,149.9,"2019-02","SONXPERIAM5W"
1,199.9,"2019-05","SONXPERIAM5W"
1,199.9,"2019-06","SONXPERIAM5W"
1,139,"2020-08","SONXPERIAM5W"
2,278,"2020-09","SONXPERIAM5W"
3,150,"2020-10","SONXPERIAM5W"
1252,525489.93,"2018-03","TIMG930"
729,292424.1,"2018-04","TIMG930"
1484,592998.7,"2018-05","TIMG930"
37,14756.3,"2018-06","TIMG930"
26,9330.51,"2018-07","TIMG930"
27,9707.4,"2018-08","TIMG930"
21,6507.03,"2018-09","TIMG930"
1,289.9,"2018-10","TIMG930"
1,289.9,"2018-11","TIMG930"
3,869.7,"2018-12","TIMG930"
1,289.9,"2019-01","TIMG930"
1,289.9,"2019-02","TIMG930"
1,50,"2019-08","TIMG930"
3,399.97,"2018-03","MEUM3S32GBS"
1,109,"2019-02","MEUM3S32GBS"
1,99,"2020-09","MEUM3S32GBS"
7,6053.7,"2018-03","SAMWD90K6400OW"
11,10639,"2018-04","SAMWD90K6400OW"
31,19659.01,"2018-05","SAMWD90K6400OW"
4,2896,"2018-06","SAMWD90K6400OW"
1,599,"2018-07","SAMWD90K6400OW"
2,1198,"2018-08","SAMWD90K6400OW"
1,599,"2018-09","SAMWD90K6400OW"
1,599,"2018-11","SAMWD90K6400OW"
1,649,"2018-03","TIMIPHONE732R"
1,549,"2018-10","TIMIPHONE732R"
1,529.99,"2018-12","TIMIPHONE732R"
1,799,"2018-03","TIMIPHONE7PLUS32"
836,499004.65,"2018-03","AEGL6FBG841"
39,26125.4,"2018-04","AEGL6FBG841"
23,15362.2,"2018-05","AEGL6FBG841"
17,9487.98,"2018-06","AEGL6FBG841"
15,10811,"2018-07","AEGL6FBG841"
9,5682.63,"2018-08","AEGL6FBG841"
10,7241.01,"2018-09","AEGL6FBG841"
35,19187.34,"2018-10","AEGL6FBG841"
35,19187.34,"2018-10","AEGL6FBG841"
82,47714.62,"2018-11","AEGL6FBG841"
23,12865.2,"2018-12","AEGL6FBG841"
47,21730.15,"2019-01","AEGL6FBG841"
11,4835.01,"2019-02","AEGL6FBG841"
6,2334.02,"2019-03","AEGL6FBG841"
2,998,"2019-04","AEGL6FBG841"
2,948,"2019-05","AEGL6FBG841"
4,1636.3,"2019-06","AEGL6FBG841"
3,1247.9,"2019-07","AEGL6FBG841"
2,868.01,"2019-08","AEGL6FBG841"
2,768.01,"2019-09","AEGL6FBG841"
1,470,"2021-02","AEGL6FBG841"
1,249.5,"2021-06","AEGL6FBG841"
1,929,"2018-07","AEGL7FBE841"
1,699,"2020-02","AEGL7FBE841"
1,637.68,"2018-06","AEGL7FBE941"
1,1029,"2018-08","AEGL7FBE941"
53,54537,"2019-06","AEGL7FBE941"
142,143971.96,"2019-07","AEGL7FBE941"
271,268775.43,"2019-08","AEGL7FBE941"
116,108738.04000000001,"2019-09","AEGL7FBE941"
58,50429.71,"2019-10","AEGL7FBE941"
26,16921.21,"2019-11","AEGL7FBE941"
14,10596.81,"2019-12","AEGL7FBE941"
8,5177.71,"2020-01","AEGL7FBE941"
11,7186.1,"2020-02","AEGL7FBE941"
2,1398,"2020-03","AEGL7FBE941"
1,419,"2020-04","AEGL7FBE941"
3,2161,"2020-05","AEGL7FBE941"
8,6665.8,"2020-07","AEGL7FBE941"
150,153003.99,"2020-08","AEGL7FBE941"
191,191707.41999999998,"2020-09","AEGL7FBE941"
10,7399.01,"2020-10","AEGL7FBE941"
2,2058,"2020-11","AEGL7FBE941"
5,4146,"2020-12","AEGL7FBE941"
9,8931,"2021-02","AEGL7FBE941"
218,221565.7,"2021-03","AEGL7FBE941"
86,82965.82,"2021-04","AEGL7FBE941"
70,68720.7,"2021-05","AEGL7FBE941"
38,37082.91,"2021-06","AEGL7FBE941"
7,5421.4,"2021-07","AEGL7FBE941"
5,3548.1,"2021-08","AEGL7FBE941"
8,5337.81,"2021-09","AEGL7FBE941"
4,2883.68,"2021-10","AEGL7FBE941"
22,15953.33,"2021-11","AEGL7FBE941"
20,14206.83,"2021-12","AEGL7FBE941"
26,15934.72,"2022-01","AEGL7FBE941"
19,11259.22,"2022-02","AEGL7FBE941"
21,9688.93,"2022-03","AEGL7FBE941"
8,3748.4,"2022-04","AEGL7FBE941"
2,999.8,"2022-05","AEGL7FBE941"
5,2269.62,"2022-06","AEGL7FBE941"
1,399.9,"2022-07","AEGL7FBE941"
1,499,"2018-03","AEGL7FEE942"
3,2498.01,"2018-04","AEGL7FEE942"
1,1029,"2018-05","AEGL7FEE942"
1,1029,"2018-07","AEGL7FEE942"
1,1029,"2018-08","AEGL7FEE942"
2,1828,"2018-09","AEGL7FEE942"
1,1029,"2018-11","AEGL7FEE942"
1,769,"2019-01","AEGL7FEE942"
1,869,"2019-05","AEGL7FEE942"
1,699,"2019-09","AEGL7FEE942"
1,720,"2020-01","AEGL7FEE942"
3,1579.71,"2021-08","AEGL7FEE942"
1,480,"2021-09","AEGL7FEE942"
1,404.99,"2021-11","AEGL7FEE942"
1,1079,"2018-08","AEGL7FEC146"
2,2158,"2018-12","AEGL7FEC146"
1,999,"2019-03","AEGL7FEC146"
1,1079,"2019-04","AEGL7FEC146"
2,1998,"2019-05","AEGL7FEC146"
1,1079,"2019-06","AEGL7FEC146"
2,2158,"2019-08","AEGL7FEC146"
1,1079,"2019-09","AEGL7FEC146"
2,1998,"2019-10","AEGL7FEC146"
3,2947,"2019-11","AEGL7FEC146"
4,4076,"2019-12","AEGL7FEC146"
1,929,"2020-01","AEGL7FEC146"
1,689,"2020-02","AEGL7FEC146"
1,999,"2020-04","AEGL7FEC146"
1,839.01,"2020-07","AEGL7FEC146"
1,647.4,"2020-10","AEGL7FEC146"
1,639.01,"2021-03","AEGL7FEC146"
1,1079,"2021-04","AEGL7FEC146"
1,949,"2021-05","AEGL7FEC146"
1,749.9,"2021-08","AEGL7FEC146"
1,1029,"2018-09","AEGL8FEE845X"
1,899,"2018-11","AEGL8FEE845X"
1,823,"2018-12","AEGL8FEE845X"
1,1029,"2019-08","AEGL8FEE845X"
2,2058,"2019-09","AEGL8FEE845X"
6,6174,"2019-10","AEGL8FEE845X"
25,24687.75,"2019-11","AEGL8FEE845X"
16,16204,"2019-12","AEGL8FEE845X"
3,2957,"2020-01","AEGL8FEE845X"
4,4013.1,"2020-02","AEGL8FEE845X"
7,6454,"2020-05","AEGL8FEE845X"
5,4885,"2020-06","AEGL8FEE845X"
6,5771.1,"2020-07","AEGL8FEE845X"
5,4776,"2020-08","AEGL8FEE845X"
11,11189.9,"2020-09","AEGL8FEE845X"
3,2686.11,"2020-10","AEGL8FEE845X"
11,11303.31,"2020-11","AEGL8FEE845X"
16,15571.6,"2020-12","AEGL8FEE845X"
27,27553,"2021-01","AEGL8FEE845X"
12,12091.1,"2021-02","AEGL8FEE845X"
7,6363.1,"2021-03","AEGL8FEE845X"
5,4404.42,"2021-04","AEGL8FEE845X"
11,10774.1,"2021-05","AEGL8FEE845X"
4,3523.9,"2021-06","AEGL8FEE845X"
20,20039.1,"2021-07","AEGL8FEE845X"
15,14110.4,"2021-08","AEGL8FEE845X"
11,10113.41,"2021-09","AEGL8FEE845X"
7,5623.41,"2021-10","AEGL8FEE845X"
19,17966.82,"2021-11","AEGL8FEE845X"
3,3087,"2021-12","AEGL8FEE845X"
4,3486.01,"2022-01","AEGL8FEE845X"
4,4116,"2022-02","AEGL8FEE845X"
21,13441.69,"2022-03","AEGL8FEE845X"
25,16347.52,"2022-04","AEGL8FEE845X"
27,16220.36,"2022-05","AEGL8FEE845X"
19,10743.65,"2022-06","AEGL8FEE845X"
8,4991.52,"2022-07","AEGL8FEE845X"
8,4288.26,"2022-08","AEGL8FEE845X"
3,1889.7,"2022-09","AEGL8FEE845X"
6,3675.5,"2022-10","AEGL8FEE845X"
6,2852.79,"2022-11","AEGL8FEE845X"
3,1321.13,"2022-12","AEGL8FEE845X"
4,1720.64,"2023-01","AEGL8FEE845X"
1,579.9,"2023-02","AEGL8FEE845X"
1,399.99,"2023-03","AEGL8FEE845X"
3,1303.32,"2023-05","AEGL8FEE845X"
1,259.42,"2023-06","AEGL8FEE845X"
1,799,"2018-04","AEGL87695WD2"
4,1559.6,"2018-03","MIEBLIZZARDCX1CATDOG"
5,1949.5,"2018-04","MIEBLIZZARDCX1CATDOG"
2,739.8,"2018-05","MIEBLIZZARDCX1CATDOG"
2,779.8,"2018-06","MIEBLIZZARDCX1CATDOG"
10,3446.3,"2018-07","MIEBLIZZARDCX1CATDOG"
6,2339.4,"2018-08","MIEBLIZZARDCX1CATDOG"
12,4678.8,"2018-09","MIEBLIZZARDCX1CATDOG"
1,159.01,"2018-10","MIEBLIZZARDCX1CATDOG"
3,1169.7,"2018-11","MIEBLIZZARDCX1CATDOG"
1,389.9,"2018-12","MIEBLIZZARDCX1CATDOG"
1,369.99,"2019-03","MIEBLIZZARDCX1CATDOG"
1,349.9,"2019-06","MIEBLIZZARDCX1CATDOG"
1,200,"2019-10","MIEBLIZZARDCX1CATDOG"
1,299,"2019-12","MIEBLIZZARDCX1CATDOG"
1,389.9,"2020-02","MIEBLIZZARDCX1CATDOG"
1,319,"2020-06","MIEBLIZZARDCX1CATDOG"
1,181.93,"2023-08","MIEBLIZZARDCX1CATDOG"
574,228127.79,"2018-03","BOHBCH6ZOOO"
454,178826,"2018-04","BOHBCH6ZOOO"
26,8895.8,"2018-05","BOHBCH6ZOOO"
54,20537.68,"2018-06","BOHBCH6ZOOO"
58,22160.97,"2018-07","BOHBCH6ZOOO"
169,66675.4,"2018-08","BOHBCH6ZOOO"
142,56150.7,"2018-09","BOHBCH6ZOOO"
55,21004.31,"2018-10","BOHBCH6ZOOO"
41,15382.01,"2018-11","BOHBCH6ZOOO"
47,17945.8,"2018-12","BOHBCH6ZOOO"
11,3102.1,"2019-01","BOHBCH6ZOOO"
5,1467.71,"2019-02","BOHBCH6ZOOO"
5,1347.29,"2019-03","BOHBCH6ZOOO"
3,577.9,"2019-04","BOHBCH6ZOOO"
6,1034,"2019-05","BOHBCH6ZOOO"
4,796.5,"2019-06","BOHBCH6ZOOO"
5,1306.9,"2019-07","BOHBCH6ZOOO"
2,398.99,"2019-08","BOHBCH6ZOOO"
7,1485.79,"2019-09","BOHBCH6ZOOO"
1,179.99,"2019-10","BOHBCH6ZOOO"
2,398,"2019-11","BOHBCH6ZOOO"
5,1207.01,"2019-12","BOHBCH6ZOOO"
2,608,"2020-01","BOHBCH6ZOOO"
7,2164.41,"2020-02","BOHBCH6ZOOO"
5,1606.5,"2020-03","BOHBCH6ZOOO"
1,399,"2020-04","BOHBCH6ZOOO"
9,2724.41,"2020-05","BOHBCH6ZOOO"
11,3081.98,"2020-06","BOHBCH6ZOOO"
6,1636.41,"2020-07","BOHBCH6ZOOO"
3,1197,"2020-08","BOHBCH6ZOOO"
11,3831,"2020-09","BOHBCH6ZOOO"
6,2005.89,"2020-10","BOHBCH6ZOOO"
4,1596,"2020-11","BOHBCH6ZOOO"
2,508,"2020-12","BOHBCH6ZOOO"
2,409,"2021-01","BOHBCH6ZOOO"
3,908,"2021-02","BOHBCH6ZOOO"
1,399,"2021-03","BOHBCH6ZOOO"
1,399.9,"2021-12","BOHBCH6ZOOO"
1,139,"2022-10","BOHBCH6ZOOO"
12,3238.8,"2018-03","ELXZUSGREEN58"
5,1170.59,"2018-04","ELXZUSGREEN58"
1,162.9,"2018-05","ELXZUSGREEN58"
3,700.79,"2018-06","ELXZUSGREEN58"
1,159.9,"2018-07","ELXZUSGREEN58"
3,700.79,"2018-08","ELXZUSGREEN58"
4,1079.6,"2018-09","ELXZUSGREEN58"
1,269.9,"2018-10","ELXZUSGREEN58"
1,269.9,"2019-01","ELXZUSGREEN58"
5,1349.5,"2019-02","ELXZUSGREEN58"
3,669.71,"2019-03","ELXZUSGREEN58"
2,539.8,"2019-04","ELXZUSGREEN58"
2,539.8,"2019-05","ELXZUSGREEN58"
1,159.99,"2019-06","ELXZUSGREEN58"
1,89.9,"2019-07","ELXZUSGREEN58"
1,269.9,"2019-10","ELXZUSGREEN58"
2,539.8,"2020-02","ELXZUSGREEN58"
2,539.8,"2020-05","ELXZUSGREEN58"
1,269.9,"2020-06","ELXZUSGREEN58"
1,269.9,"2020-07","ELXZUSGREEN58"
2,539.8,"2020-08","ELXZUSGREEN58"
3,300,"2020-10","ELXZUSGREEN58"
4,400,"2020-11","ELXZUSGREEN58"
1,100,"2020-12","ELXZUSGREEN58"
1,99.99,"2021-11","ELXZUSGREEN58"
1,99.99,"2022-02","ELXZUSGREEN58"
1,109.99,"2019-03","ELXZS335"
1,149.9,"2020-08","ELXZS335"
1,269.9,"2018-03","HUANOVA"
1,99,"2020-03","HUANOVA"
1,249,"2018-03","HUANOVAG"
1,249,"2018-08","HUANOVAG"
1,229.91,"2018-10","HUANOVAG"
1,149.9,"2018-04","HOOMBC500"
2,274.81,"2018-05","HOOMBC500"
1,149.9,"2018-07","HOOMBC500"
1,91.99,"2018-08","HOOMBC500"
2,274.8,"2018-10","HOOMBC500"
1,89.9,"2018-11","HOOMBC500"
2,195.98,"2018-12","HOOMBC500"
2,299.8,"2019-01","HOOMBC500"
3,399.79,"2019-02","HOOMBC500"
1,149.9,"2019-03","HOOMBC500"
6,758.98,"2019-04","HOOMBC500"
3,349.88,"2019-05","HOOMBC500"
4,542.38,"2019-07","HOOMBC500"
6,879.58,"2019-08","HOOMBC500"
3,364.89,"2019-09","HOOMBC500"
